Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 1 Runden: 100
Strategie 1 Anzahl Durchlaeufe 475
Strategie 1 Anzahl Durchlaeufe 345
Strategie 1 Anzahl Durchlaeufe 305
Strategie 1 Anzahl Durchlaeufe 299
Strategie 1 Anzahl Durchlaeufe 516
Strategie 1 Anzahl Durchlaeufe 298
Strategie 1 Anzahl Durchlaeufe 409
Strategie 1 Anzahl Durchlaeufe 367
Strategie 1 Anzahl Durchlaeufe 542
Strategie 1 Anzahl Durchlaeufe 363
Strategie 1 Anzahl Durchlaeufe 390
Strategie 1 Anzahl Durchlaeufe 327
Strategie 1 Anzahl Durchlaeufe 234
Strategie 1 Anzahl Durchlaeufe 185
Strategie 1 Anzahl Durchlaeufe 303
Strategie 1 Anzahl Durchlaeufe 418
Strategie 1 Anzahl Durchlaeufe 498
Strategie 1 Anzahl Durchlaeufe 407
Strategie 1 Anzahl Durchlaeufe 644
Strategie 1 Anzahl Durchlaeufe 254
Strategie 1 Anzahl Durchlaeufe 342
Strategie 1 Anzahl Durchlaeufe 528
Strategie 1 Anzahl Durchlaeufe 458
Strategie 1 Anzahl Durchlaeufe 504
Strategie 1 Anzahl Durchlaeufe 553
Strategie 1 Anzahl Durchlaeufe 275
Strategie 1 Anzahl Durchlaeufe 295
Strategie 1 Anzahl Durchlaeufe 779
Strategie 1 Anzahl Durchlaeufe 421
Strategie 1 Anzahl Durchlaeufe 513
Strategie 1 Anzahl Durchlaeufe 494
Strategie 1 Anzahl Durchlaeufe 356
Strategie 1 Anzahl Durchlaeufe 386
Strategie 1 Anzahl Durchlaeufe 549
Strategie 1 Anzahl Durchlaeufe 328
Strategie 1 Anzahl Durchlaeufe 335
Strategie 1 Anzahl Durchlaeufe 283
Strategie 1 Anzahl Durchlaeufe 371
Strategie 1 Anzahl Durchlaeufe 437
Strategie 1 Anzahl Durchlaeufe 248
Strategie 1 Anzahl Durchlaeufe 312
Strategie 1 Anzahl Durchlaeufe 370
Strategie 1 Anzahl Durchlaeufe 322
Strategie 1 Anzahl Durchlaeufe 348
Strategie 1 Anzahl Durchlaeufe 491
Strategie 1 Anzahl Durchlaeufe 487
Strategie 1 Anzahl Durchlaeufe 761
Strategie 1 Anzahl Durchlaeufe 512
Strategie 1 Anzahl Durchlaeufe 405
Strategie 1 Anzahl Durchlaeufe 320
Strategie 1 Anzahl Durchlaeufe 489
Strategie 1 Anzahl Durchlaeufe 208
Strategie 1 Anzahl Durchlaeufe 433
Strategie 1 Anzahl Durchlaeufe 500
Strategie 1 Anzahl Durchlaeufe 377
Strategie 1 Anzahl Durchlaeufe 786
Strategie 1 Anzahl Durchlaeufe 364
Strategie 1 Anzahl Durchlaeufe 418
Strategie 1 Anzahl Durchlaeufe 297
Strategie 1 Anzahl Durchlaeufe 302
Strategie 1 Anzahl Durchlaeufe 420
Strategie 1 Anzahl Durchlaeufe 252
Strategie 1 Anzahl Durchlaeufe 528
Strategie 1 Anzahl Durchlaeufe 246
Strategie 1 Anzahl Durchlaeufe 444
Strategie 1 Anzahl Durchlaeufe 376
Strategie 1 Anzahl Durchlaeufe 356
Strategie 1 Anzahl Durchlaeufe 223
Strategie 1 Anzahl Durchlaeufe 422
Strategie 1 Anzahl Durchlaeufe 248
Strategie 1 Anzahl Durchlaeufe 337
Strategie 1 Anzahl Durchlaeufe 243
Strategie 1 Anzahl Durchlaeufe 1059
Strategie 1 Anzahl Durchlaeufe 222
Strategie 1 Anzahl Durchlaeufe 359
Strategie 1 Anzahl Durchlaeufe 400
Strategie 1 Anzahl Durchlaeufe 570
Strategie 1 Anzahl Durchlaeufe 304
Strategie 1 Anzahl Durchlaeufe 331
Strategie 1 Anzahl Durchlaeufe 280
Strategie 1 Anzahl Durchlaeufe 365
Strategie 1 Anzahl Durchlaeufe 497
Strategie 1 Anzahl Durchlaeufe 448
Strategie 1 Anzahl Durchlaeufe 363
Strategie 1 Anzahl Durchlaeufe 281
Strategie 1 Anzahl Durchlaeufe 737
Strategie 1 Anzahl Durchlaeufe 541
Strategie 1 Anzahl Durchlaeufe 568
Strategie 1 Anzahl Durchlaeufe 363
Strategie 1 Anzahl Durchlaeufe 548
Strategie 1 Anzahl Durchlaeufe 413
Strategie 1 Anzahl Durchlaeufe 565
Strategie 1 Anzahl Durchlaeufe 295
Strategie 1 Anzahl Durchlaeufe 483
Strategie 1 Anzahl Durchlaeufe 559
Strategie 1 Anzahl Durchlaeufe 339
Strategie 1 Anzahl Durchlaeufe 495
Strategie 1 Anzahl Durchlaeufe 509
Strategie 1 Anzahl Durchlaeufe 741
Strategie 1 Anzahl Durchlaeufe 365
