Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 4 Runden: 100
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 94
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 90
Strategie 4 Anzahl Durchlaeufe 88
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 90
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 94
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 95
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 93
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 92
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 94
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 95
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 95
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 94
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 93
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 94
Strategie 4 Anzahl Durchlaeufe 93
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 89
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 88
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 94
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 92
Strategie 4 Anzahl Durchlaeufe 90
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 99
Strategie 4 Anzahl Durchlaeufe 96
Strategie 4 Anzahl Durchlaeufe 90
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 98
Strategie 4 Anzahl Durchlaeufe 97
Strategie 4 Anzahl Durchlaeufe 94
