Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 1 Runden: 100
Strategie 1 Anzahl Durchlaeufe 897
Strategie 1 Anzahl Durchlaeufe 224
Strategie 1 Anzahl Durchlaeufe 390
Strategie 1 Anzahl Durchlaeufe 337
Strategie 1 Anzahl Durchlaeufe 500
Strategie 1 Anzahl Durchlaeufe 294
Strategie 1 Anzahl Durchlaeufe 380
Strategie 1 Anzahl Durchlaeufe 321
Strategie 1 Anzahl Durchlaeufe 356
Strategie 1 Anzahl Durchlaeufe 320
Strategie 1 Anzahl Durchlaeufe 357
Strategie 1 Anzahl Durchlaeufe 463
Strategie 1 Anzahl Durchlaeufe 292
Strategie 1 Anzahl Durchlaeufe 288
Strategie 1 Anzahl Durchlaeufe 634
Strategie 1 Anzahl Durchlaeufe 458
Strategie 1 Anzahl Durchlaeufe 529
Strategie 1 Anzahl Durchlaeufe 327
Strategie 1 Anzahl Durchlaeufe 491
Strategie 1 Anzahl Durchlaeufe 387
Strategie 1 Anzahl Durchlaeufe 425
Strategie 1 Anzahl Durchlaeufe 452
Strategie 1 Anzahl Durchlaeufe 351
Strategie 1 Anzahl Durchlaeufe 309
Strategie 1 Anzahl Durchlaeufe 456
Strategie 1 Anzahl Durchlaeufe 263
Strategie 1 Anzahl Durchlaeufe 939
Strategie 1 Anzahl Durchlaeufe 412
Strategie 1 Anzahl Durchlaeufe 671
Strategie 1 Anzahl Durchlaeufe 404
Strategie 1 Anzahl Durchlaeufe 479
Strategie 1 Anzahl Durchlaeufe 439
Strategie 1 Anzahl Durchlaeufe 323
Strategie 1 Anzahl Durchlaeufe 417
Strategie 1 Anzahl Durchlaeufe 354
Strategie 1 Anzahl Durchlaeufe 496
Strategie 1 Anzahl Durchlaeufe 378
Strategie 1 Anzahl Durchlaeufe 440
Strategie 1 Anzahl Durchlaeufe 295
Strategie 1 Anzahl Durchlaeufe 202
Strategie 1 Anzahl Durchlaeufe 343
Strategie 1 Anzahl Durchlaeufe 327
Strategie 1 Anzahl Durchlaeufe 370
Strategie 1 Anzahl Durchlaeufe 311
Strategie 1 Anzahl Durchlaeufe 298
Strategie 1 Anzahl Durchlaeufe 373
Strategie 1 Anzahl Durchlaeufe 257
Strategie 1 Anzahl Durchlaeufe 333
Strategie 1 Anzahl Durchlaeufe 396
Strategie 1 Anzahl Durchlaeufe 416
Strategie 1 Anzahl Durchlaeufe 236
Strategie 1 Anzahl Durchlaeufe 395
Strategie 1 Anzahl Durchlaeufe 579
Strategie 1 Anzahl Durchlaeufe 361
Strategie 1 Anzahl Durchlaeufe 491
Strategie 1 Anzahl Durchlaeufe 421
Strategie 1 Anzahl Durchlaeufe 405
Strategie 1 Anzahl Durchlaeufe 285
Strategie 1 Anzahl Durchlaeufe 396
Strategie 1 Anzahl Durchlaeufe 291
Strategie 1 Anzahl Durchlaeufe 478
Strategie 1 Anzahl Durchlaeufe 553
Strategie 1 Anzahl Durchlaeufe 604
Strategie 1 Anzahl Durchlaeufe 449
Strategie 1 Anzahl Durchlaeufe 432
Strategie 1 Anzahl Durchlaeufe 288
Strategie 1 Anzahl Durchlaeufe 634
Strategie 1 Anzahl Durchlaeufe 336
Strategie 1 Anzahl Durchlaeufe 419
Strategie 1 Anzahl Durchlaeufe 363
Strategie 1 Anzahl Durchlaeufe 327
Strategie 1 Anzahl Durchlaeufe 477
Strategie 1 Anzahl Durchlaeufe 683
Strategie 1 Anzahl Durchlaeufe 611
Strategie 1 Anzahl Durchlaeufe 517
Strategie 1 Anzahl Durchlaeufe 414
Strategie 1 Anzahl Durchlaeufe 439
Strategie 1 Anzahl Durchlaeufe 285
Strategie 1 Anzahl Durchlaeufe 325
Strategie 1 Anzahl Durchlaeufe 351
Strategie 1 Anzahl Durchlaeufe 424
Strategie 1 Anzahl Durchlaeufe 356
Strategie 1 Anzahl Durchlaeufe 410
Strategie 1 Anzahl Durchlaeufe 379
Strategie 1 Anzahl Durchlaeufe 325
Strategie 1 Anzahl Durchlaeufe 214
Strategie 1 Anzahl Durchlaeufe 326
Strategie 1 Anzahl Durchlaeufe 603
Strategie 1 Anzahl Durchlaeufe 376
Strategie 1 Anzahl Durchlaeufe 723
Strategie 1 Anzahl Durchlaeufe 456
Strategie 1 Anzahl Durchlaeufe 401
Strategie 1 Anzahl Durchlaeufe 318
Strategie 1 Anzahl Durchlaeufe 404
Strategie 1 Anzahl Durchlaeufe 480
Strategie 1 Anzahl Durchlaeufe 364
Strategie 1 Anzahl Durchlaeufe 301
Strategie 1 Anzahl Durchlaeufe 521
Strategie 1 Anzahl Durchlaeufe 672
Strategie 1 Anzahl Durchlaeufe 312
