Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 3 Runden: 100
Strategie 3 Anzahl Durchlaeufe 94
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 84
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 94
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 90
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 86
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 90
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 94
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 94
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 90
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 97
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 99
Strategie 3 Anzahl Durchlaeufe 90
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 90
Strategie 3 Anzahl Durchlaeufe 95
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 96
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
Strategie 3 Anzahl Durchlaeufe 98
