Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 2 Runden: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 95
strategie 2 Durchlauefe: 93
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 95
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 95
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 94
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 94
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 92
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 93
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 95
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 95
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 96
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 90
strategie 2 Durchlauefe: 97
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 94
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 94
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 89
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 93
strategie 2 Durchlauefe: 93
strategie 2 Durchlauefe: 100
strategie 2 Durchlauefe: 99
strategie 2 Durchlauefe: 98
strategie 2 Durchlauefe: 98
