Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 1 Runden: 100
Strategie 1 Anzahl Durchlaeufe 489
Strategie 1 Anzahl Durchlaeufe 520
Strategie 1 Anzahl Durchlaeufe 277
Strategie 1 Anzahl Durchlaeufe 355
Strategie 1 Anzahl Durchlaeufe 448
Strategie 1 Anzahl Durchlaeufe 376
Strategie 1 Anzahl Durchlaeufe 266
Strategie 1 Anzahl Durchlaeufe 358
Strategie 1 Anzahl Durchlaeufe 435
Strategie 1 Anzahl Durchlaeufe 311
Strategie 1 Anzahl Durchlaeufe 486
Strategie 1 Anzahl Durchlaeufe 249
Strategie 1 Anzahl Durchlaeufe 297
Strategie 1 Anzahl Durchlaeufe 368
Strategie 1 Anzahl Durchlaeufe 311
Strategie 1 Anzahl Durchlaeufe 455
Strategie 1 Anzahl Durchlaeufe 390
Strategie 1 Anzahl Durchlaeufe 305
Strategie 1 Anzahl Durchlaeufe 757
Strategie 1 Anzahl Durchlaeufe 423
Strategie 1 Anzahl Durchlaeufe 403
Strategie 1 Anzahl Durchlaeufe 442
Strategie 1 Anzahl Durchlaeufe 397
Strategie 1 Anzahl Durchlaeufe 462
Strategie 1 Anzahl Durchlaeufe 272
Strategie 1 Anzahl Durchlaeufe 456
Strategie 1 Anzahl Durchlaeufe 182
Strategie 1 Anzahl Durchlaeufe 517
Strategie 1 Anzahl Durchlaeufe 248
Strategie 1 Anzahl Durchlaeufe 271
Strategie 1 Anzahl Durchlaeufe 233
Strategie 1 Anzahl Durchlaeufe 455
Strategie 1 Anzahl Durchlaeufe 398
Strategie 1 Anzahl Durchlaeufe 539
Strategie 1 Anzahl Durchlaeufe 260
Strategie 1 Anzahl Durchlaeufe 340
Strategie 1 Anzahl Durchlaeufe 481
Strategie 1 Anzahl Durchlaeufe 366
Strategie 1 Anzahl Durchlaeufe 494
Strategie 1 Anzahl Durchlaeufe 653
Strategie 1 Anzahl Durchlaeufe 248
Strategie 1 Anzahl Durchlaeufe 315
Strategie 1 Anzahl Durchlaeufe 249
Strategie 1 Anzahl Durchlaeufe 269
Strategie 1 Anzahl Durchlaeufe 412
Strategie 1 Anzahl Durchlaeufe 612
Strategie 1 Anzahl Durchlaeufe 318
Strategie 1 Anzahl Durchlaeufe 297
Strategie 1 Anzahl Durchlaeufe 441
Strategie 1 Anzahl Durchlaeufe 440
Strategie 1 Anzahl Durchlaeufe 813
Strategie 1 Anzahl Durchlaeufe 302
Strategie 1 Anzahl Durchlaeufe 402
Strategie 1 Anzahl Durchlaeufe 239
Strategie 1 Anzahl Durchlaeufe 485
Strategie 1 Anzahl Durchlaeufe 314
Strategie 1 Anzahl Durchlaeufe 419
Strategie 1 Anzahl Durchlaeufe 421
Strategie 1 Anzahl Durchlaeufe 285
Strategie 1 Anzahl Durchlaeufe 684
Strategie 1 Anzahl Durchlaeufe 454
Strategie 1 Anzahl Durchlaeufe 424
Strategie 1 Anzahl Durchlaeufe 275
Strategie 1 Anzahl Durchlaeufe 357
Strategie 1 Anzahl Durchlaeufe 256
Strategie 1 Anzahl Durchlaeufe 448
Strategie 1 Anzahl Durchlaeufe 452
Strategie 1 Anzahl Durchlaeufe 384
Strategie 1 Anzahl Durchlaeufe 275
Strategie 1 Anzahl Durchlaeufe 455
Strategie 1 Anzahl Durchlaeufe 387
Strategie 1 Anzahl Durchlaeufe 290
Strategie 1 Anzahl Durchlaeufe 329
Strategie 1 Anzahl Durchlaeufe 489
Strategie 1 Anzahl Durchlaeufe 240
Strategie 1 Anzahl Durchlaeufe 476
Strategie 1 Anzahl Durchlaeufe 263
Strategie 1 Anzahl Durchlaeufe 471
Strategie 1 Anzahl Durchlaeufe 455
Strategie 1 Anzahl Durchlaeufe 355
Strategie 1 Anzahl Durchlaeufe 298
Strategie 1 Anzahl Durchlaeufe 572
Strategie 1 Anzahl Durchlaeufe 418
Strategie 1 Anzahl Durchlaeufe 425
Strategie 1 Anzahl Durchlaeufe 432
Strategie 1 Anzahl Durchlaeufe 365
Strategie 1 Anzahl Durchlaeufe 538
Strategie 1 Anzahl Durchlaeufe 429
Strategie 1 Anzahl Durchlaeufe 403
Strategie 1 Anzahl Durchlaeufe 262
Strategie 1 Anzahl Durchlaeufe 300
Strategie 1 Anzahl Durchlaeufe 313
Strategie 1 Anzahl Durchlaeufe 358
Strategie 1 Anzahl Durchlaeufe 361
Strategie 1 Anzahl Durchlaeufe 273
Strategie 1 Anzahl Durchlaeufe 435
Strategie 1 Anzahl Durchlaeufe 309
Strategie 1 Anzahl Durchlaeufe 383
Strategie 1 Anzahl Durchlaeufe 538
Strategie 1 Anzahl Durchlaeufe 434
